Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
50.4,5511035,24,229626.5,1104.0,320,932959,345578.4,[CUDA memcpy Host-to-Device]
49.6,5433244,8,679155.5,675039.0,493888,891263,184997.7,[CUDA memcpy Device-to-Host]
